,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
796,ZNF318,trt_sh,1.021,0.763,1.021,12,10,2,39,
797,FKBP4,trt_sh,1.021,-0.787,1.021,17,9,8,33,
798,EGR3,trt_sh,1.021,0.817,1.021,12,9,3,24,
799,choline-alfoscerate,trt_cp,1.021,-0.27,1.021,14,9,5,42,acetylcholine precursor
800,PRKRIR,trt_sh,1.021,-0.351,1.021,11,7,4,27,
801,SAR-245409,trt_cp,1.02,-0.626,1.02,67,42,25,180,PI3K inhibitor
802,rucaparib,trt_cp,1.02,0.269,1.02,67,45,22,173,PARP inhibitor
803,BS-181,trt_cp,1.02,-0.742,1.02,39,23,16,129,CDK inhibitor
804,neratinib,trt_cp,1.02,0.535,1.02,105,72,33,262,EGFR inhibitor
805,DNPEP,trt_sh,1.02,0.847,1.02,17,14,3,27,
806,BRD-A89067742,trt_cp,1.02,-0.337,1.02,11,7,4,18,
807,RHOBTB1,trt_sh,1.02,0.829,1.02,13,12,1,42,
808,tofacitinib,trt_cp,1.02,-0.709,1.02,26,14,12,65,JAK inhibitor
809,CA12,trt_sh,1.019,-0.646,1.019,16,9,7,69,
810,trimebutine,trt_cp,1.019,0.823,1.019,19,15,4,53,Opioid receptor agonist
811,SDZ-WAG-994,trt_cp,1.019,0.603,1.019,10,8,2,19,Adenosine receptor agonist
812,MORF4L2,trt_sh,1.019,0.736,1.019,13,11,2,27,
813,BW-B70C,trt_cp,1.019,-0.739,1.019,11,6,5,34,Lipoxygenase inhibitor
814,MYC,trt_sh,1.019,-0.702,1.019,95,57,38,290,
815,KIN001-269,trt_cp,1.019,-0.857,1.019,41,23,18,114,
816,RPS7,trt_sh,1.019,0.803,1.019,10,8,2,27,
817,ZNF434,trt_sh,1.019,-0.795,1.019,15,9,6,24,
818,BRD-K35716340,trt_cp,1.018,0.75,1.018,19,15,4,56,
819,ruxolitinib,trt_cp,1.018,-0.538,1.018,59,38,21,213,JAK inhibitor
820,escitalopram,trt_cp,1.018,-0.629,1.018,26,16,10,80,Selective serotonin reuptake inhibitor (SSRI)
821,ZEB1,trt_sh,1.018,0.836,1.018,10,10,0,27,
822,linopirdine,trt_cp,1.018,0.748,1.018,29,20,9,70,Potassium channel blocker
823,batimastat,trt_cp,1.017,0.701,1.017,42,30,12,101,Matrix metalloprotease inhibitor
824,GSK-J2,trt_cp,1.017,-0.928,1.017,39,23,16,112,histone demethylase inhibitor
825,CGS-15943,trt_cp,1.017,0.778,1.017,27,23,4,85,Adenosine receptor antagonist
826,MAF,trt_sh,1.017,0.592,1.017,13,9,4,27,
827,NOSIP,trt_sh,1.017,0.062,1.017,15,10,5,43,
828,irsogladine,trt_cp,1.017,0.465,1.017,28,19,9,76,Phosphodiesterase inhibitor
829,MK-0752,trt_cp,1.017,-0.338,1.017,14,9,5,42,gamma secretase inhibitor
830,NRAS,trt_sh,1.016,-0.695,1.016,41,26,15,147,
831,RAB3GAP1,trt_sh,1.016,0.042,1.016,15,10,5,39,
832,taranabant,trt_cp,1.016,0.736,1.016,14,11,3,42,cannabinoid receptor inverse agonist
833,MAFG,trt_sh,1.016,-0.633,1.016,10,6,4,27,
834,O-3M3FBS,trt_cp,1.016,0.712,1.016,10,7,3,23,Phospholipase activator
835,TNFSF8,trt_sh,1.016,-0.905,1.016,14,8,6,38,
836,NEK4,trt_sh,1.016,0.815,1.016,11,9,2,37,
837,chlorambucil,trt_cp,1.016,0.02,1.016,30,20,10,83,DNA inhibitor
838,triamcinolone,trt_cp,1.015,-0.736,1.015,43,26,17,105,Glucocorticoid receptor agonist
839,HLA-DQA1,trt_sh,1.015,0.884,1.015,15,12,3,27,
840,CDH1,trt_xpr,1.015,-0.838,1.015,22,12,10,66,
841,FOXP3,trt_sh,1.015,0.613,1.015,29,21,8,57,
842,TLK2,trt_sh,1.015,-0.63,1.015,24,15,9,80,
843,SA-424828,trt_cp,1.015,-0.907,1.015,10,5,5,25,
844,CES2,trt_sh,1.015,-0.716,1.015,18,11,7,33,
845,CX-5461,trt_cp,1.015,-0.863,1.015,54,30,24,156,RNA polymerase inhibitor
846,glycocholic-acid,trt_cp,1.015,0.188,1.015,12,8,4,29,Cholesterol inhibitor
847,CMPK1,trt_sh,1.015,-0.747,1.015,19,11,8,46,
848,ATP7A,trt_sh,1.015,0.654,1.015,15,11,4,27,
849,resminostat,trt_cp,1.015,-0.864,1.015,11,6,5,42,HDAC inhibitor
850,cyanocobalamin,trt_cp,1.015,0.659,1.015,20,14,6,46,Methylmalonyl CoA mutase stimulant|Vitamin B
851,bindarit,trt_cp,1.015,-0.357,1.015,11,7,4,42,NFkB pathway inhibitor
852,epinastine,trt_cp,1.014,-0.671,1.014,18,11,7,42,histamine receptor antagonist
853,BRD-K20032655,trt_cp,1.014,-0.392,1.014,11,7,4,30,
854,mizolastine,trt_cp,1.014,0.749,1.014,18,14,4,46,Histamine receptor antagonist
855,CTBP1,trt_sh,1.014,0.658,1.014,16,11,5,39,
856,relcovaptan,trt_cp,1.014,-0.738,1.014,21,13,8,61,Vasopressin receptor antagonist
857,TRAPPC6A,trt_sh,1.014,-0.733,1.014,17,10,7,39,
858,CROT,trt_sh,1.014,0.87,1.014,16,13,3,33,
859,APOC3,trt_sh,1.013,-0.847,1.013,10,5,5,27,
860,STK19,trt_sh,1.013,-0.946,1.013,12,6,6,43,
861,busulfan,trt_cp,1.013,-0.736,1.013,27,16,11,59,DNA inhibitor
862,HC-toxin,trt_cp,1.013,0.771,1.013,13,10,3,26,HDAC inhibitor
863,PARP1,trt_sh,1.013,0.709,1.013,10,8,2,33,
864,CX-4945,trt_cp,1.013,0.562,1.013,21,15,6,42,casein kinase inhibitor
865,SERPINF2,trt_sh,1.013,0.739,1.013,12,9,3,27,
866,KDELR3,trt_sh,1.013,0.774,1.013,13,11,2,36,
867,DDX5,trt_sh,1.012,0.552,1.012,10,7,3,27,
868,AKAP8L,trt_sh,1.012,0.635,1.012,16,11,5,43,
869,linagliptin,trt_cp,1.012,-0.761,1.012,16,10,6,42,dipeptidyl peptidase inhibitor
870,LY-2603618,trt_cp,1.012,-0.827,1.012,39,20,19,114,
871,CLCN3,trt_sh,1.012,-0.752,1.012,16,10,6,39,
872,LRRC32,trt_sh,1.011,-0.754,1.011,16,10,6,33,
873,FBXL12,trt_sh,1.011,0.764,1.011,19,16,3,41,
874,BLZF1,trt_sh,1.011,-0.777,1.011,11,6,5,27,
875,SENP6,trt_sh,1.011,0.756,1.011,16,15,1,39,
876,pifithrin-mu,trt_cp,1.011,0.752,1.011,46,33,13,146,HSP inhibitor
877,XMD-1499,trt_cp,1.01,-0.628,1.01,64,42,22,180,EPHB3 inhibitor
878,SPECC1L,trt_sh,1.01,0.694,1.01,18,13,5,39,
879,GATAD2A,trt_sh,1.01,0.689,1.01,10,7,3,27,
880,GSK-J4,trt_cp,1.01,-0.661,1.01,46,29,17,129,histone lysine demethylase inhibitor
881,dequalinium,trt_cp,1.01,-0.751,1.01,20,11,9,45,PKC inhibitor
882,DDX49,trt_sh,1.009,-0.696,1.009,10,6,4,40,
883,osimertinib,trt_cp,1.009,-0.793,1.009,60,36,24,170,EGFR inhibitor
884,AZD-1480,trt_cp,1.009,-0.747,1.009,57,37,20,204,JAK inhibitor
885,STAP2,trt_sh,1.009,-0.631,1.009,17,10,7,42,
886,HES1,trt_sh,1.009,0.732,1.009,25,18,7,69,
887,TFPI,trt_sh,1.009,-0.729,1.009,15,8,7,33,
888,CX-516,trt_cp,1.009,0.572,1.009,19,13,6,42,glutamate receptor modulator
889,rifaximin,trt_cp,1.009,-0.738,1.009,22,12,10,53,RNA synthesis inhibitor
890,HOXA10,trt_sh,1.008,-0.385,1.008,20,13,7,72,
891,SOD1,trt_sh,1.008,-0.729,1.008,43,27,16,102,
892,BIX-01294,trt_cp,1.008,0.529,1.008,59,40,19,155,DNA methyltransferase inhibitor|Histone lysine methyltransferase inhibitor
893,KIAA0196,trt_sh,1.007,-0.916,1.007,15,8,7,33,
894,dicoumarol,trt_cp,1.007,-0.2,1.007,20,13,7,46,NADPH inhibitor
895,LGR6,trt_sh,1.007,0.747,1.007,14,10,4,26,
896,YME1L1,trt_sh,1.007,0.555,1.007,16,11,5,42,
897,niclosamide,trt_cp,1.007,-0.84,1.007,73,40,33,196,DNA replication inhibitor|STAT inhibitor
898,tolimidone,trt_cp,1.007,-0.781,1.007,18,10,8,42,SRC activator
899,safingol,trt_cp,1.006,-0.756,1.006,16,9,7,42,PKC inhibitor
900,pevonedistat,trt_cp,1.006,0.669,1.006,42,31,11,113,Nedd activating enzyme inhibitor
901,IGSF8,trt_sh,1.006,-0.646,1.006,13,7,6,27,
902,FAU,trt_sh,1.006,-0.984,1.006,11,6,5,24,
903,CAT,trt_sh,1.006,-0.721,1.006,25,15,10,72,
904,ILF3,trt_sh,1.006,-0.351,1.006,11,7,4,27,
905,YTHDF1,trt_sh,1.005,-0.822,1.005,16,7,9,42,
906,Gly-Gly-PALO,trt_cp,1.005,0.586,1.005,21,15,6,59,
907,nefopam,trt_cp,1.005,-0.805,1.005,25,13,12,64,Cyclooxygenase inhibitor
908,ERBB3,trt_xpr,1.005,-0.853,1.005,30,18,12,77,
909,AKT1,trt_xpr,1.005,0.627,1.005,23,16,7,77,
910,GABBR1,trt_sh,1.005,-0.765,1.005,11,6,5,27,
911,sertraline,trt_cp,1.004,-0.968,1.004,21,12,9,80,Serotonin receptor antagonist
912,dovitinib,trt_cp,1.004,-0.601,1.004,52,34,18,179,EGFR inhibitor|FGFR inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
913,ALDH6A1,trt_sh,1.004,-0.837,1.004,10,5,5,30,
914,malonoben,trt_cp,1.004,0.626,1.004,12,10,2,31,Protein tyrosine kinase inhibitor
915,SHH,trt_sh,1.004,-0.86,1.004,19,11,8,60,
916,orphenadrine,trt_cp,1.004,0.748,1.004,21,16,5,64,Acetylcholine receptor antagonist
917,PLCB1,trt_sh,1.004,-0.621,1.004,12,7,5,24,
918,cobicistat,trt_cp,1.004,0.734,1.004,15,11,4,42,cytochrome P450 inhibitor
919,dazmegrel,trt_cp,1.003,-0.785,1.003,14,6,8,42,thromboxane synthase inhibitor
920,NTAN1,trt_sh,1.003,-0.805,1.003,10,6,4,33,
921,noscapine,trt_cp,1.003,-0.693,1.003,41,24,17,106,Bradykinin receptor antagonist|Tubulin inhibitor
922,clinofibrate,trt_cp,1.003,-0.91,1.003,21,11,10,42,lipase clearing factor inhibitor
923,digoxin,trt_cp,1.003,-0.802,1.003,34,19,15,96,ATPase inhibitor
924,RNF123,trt_sh,1.003,-0.752,1.003,16,10,6,33,
925,piretanide,trt_cp,1.003,0.797,1.003,25,19,6,65,Glucocorticoid receptor agonist
926,atipamezole,trt_cp,1.003,-0.756,1.003,18,11,7,41,adrenergic receptor antagonist
927,PCM1,trt_sh,1.002,0.837,1.002,11,9,2,39,
928,ALB,trt_sh,1.002,0.842,1.002,10,9,1,27,
929,KAZALD1,trt_sh,1.002,-0.647,1.002,16,10,6,42,
930,TPD52L2,trt_sh,1.002,0.715,1.002,15,12,3,33,
931,ISOC1,trt_sh,1.002,0.788,1.002,12,10,2,39,
932,FDFT1,trt_sh,1.002,0.786,1.002,22,16,6,53,
933,trifluridine,trt_cp,1.002,-0.335,1.002,26,17,9,52,DNA directed DNA polymerase inhibitor|Thymidylate synthase inhibitor
934,IKK-2-inhibitor-V,trt_cp,1.002,-0.685,1.002,46,28,18,131,IKK inhibitor|NFkB pathway inhibitor
935,BAG3,trt_sh,1.002,0.803,1.002,15,12,3,36,
936,dapagliflozin,trt_cp,1.001,-0.935,1.001,18,8,10,41,sodium/glucose cotransporter inhibitor
937,APP,trt_sh,1.001,0.802,1.001,11,9,2,27,
938,RFNG,trt_sh,1.001,-0.597,1.001,13,8,5,39,
939,meclizine,trt_cp,1.001,-0.756,1.001,29,16,13,76,Constitutive androstane receptor (CAR) agonist
940,FBXW11,trt_sh,1.001,0.65,1.001,11,8,3,27,
941,BMS-191011,trt_cp,1.001,-0.883,1.001,35,16,19,78,Potassium channel activator
942,lacZ,ctl_vector.cns,1.001,0.561,1.001,10,7,3,23,
943,mannitol-D,trt_cp,1.001,-0.948,1.001,15,9,6,42,diuretic
944,desoximetasone,trt_cp,1.001,0.669,1.001,16,11,5,36,Glucocorticoid receptor agonist
945,ketorolac,trt_cp,1.001,-0.946,1.001,28,16,12,80,Cyclooxygenase inhibitor
946,adarotene,trt_cp,1.0,0.743,1.0,15,12,3,42,retinoid receptor agonist
947,mesulergine,trt_cp,1.0,0.725,1.0,24,19,5,57,Dopamine receptor agonist
948,BRD-K89329876,trt_cp,1.0,-0.33,1.0,20,13,7,59,Kinesin inhibitor
949,IRF2,trt_sh,1.0,-0.644,1.0,10,6,4,27,
950,isradipine,trt_cp,1.0,0.145,1.0,24,16,8,78,Calcium channel blocker
951,PCK2,trt_sh,1.0,-0.845,1.0,30,16,14,80,
952,GLUL,trt_sh,1.0,-0.195,1.0,11,7,4,27,
953,TOMM34,trt_sh,1.0,-0.842,1.0,17,9,8,43,
954,POFUT1,trt_sh,1.0,0.713,1.0,13,10,3,27,
955,MYO10,trt_sh,0.999,0.556,0.999,11,9,2,42,
956,benzydamine,trt_cp,0.999,0.565,0.999,25,17,8,64,Prostanoid receptor antagonist
957,vinblastine,trt_cp,0.998,0.527,0.998,31,21,10,61,Microtubule inhibitor|Tubulin inhibitor
958,SA-419083,trt_cp,0.998,-0.751,0.998,10,6,4,22,
959,SEC61A2,trt_sh,0.998,0.663,0.998,12,9,3,33,
960,CDK1,trt_sh,0.998,0.494,0.998,28,19,9,78,
961,HIGD2A,trt_sh,0.997,-0.896,0.997,15,9,6,42,
962,SLC25A28,trt_sh,0.997,0.729,0.997,11,8,3,33,
963,PTPN1,trt_sh,0.997,-0.841,0.997,30,18,12,66,
964,DTNA,trt_sh,0.997,-0.824,0.997,18,11,7,39,
965,PAX6,trt_sh,0.997,0.775,0.997,16,11,5,33,
966,CDKN1C,trt_sh,0.997,-0.784,0.997,18,9,9,56,
967,CHIR-99021,trt_cp,0.997,-0.73,0.997,67,41,26,213,Glycogen synthase kinase inhibitor
968,clomipramine,trt_cp,0.997,-0.881,0.997,39,19,20,75,Serotonin transporter (SERT) inhibitor
969,capsazepine,trt_cp,0.997,-0.795,0.997,10,4,6,19,TRPV agonist
970,CP-724714,trt_cp,0.997,-0.708,0.997,86,55,31,238,Tyrosine kinase inhibitor|EGFR inhibitor
971,tracazolate,trt_cp,0.996,-0.915,0.996,17,8,9,65,GABA receptor modulator
972,KIAA1009,trt_sh,0.996,-0.482,0.996,11,7,4,42,
973,targinine,trt_cp,0.996,-0.677,0.996,22,14,8,53,Nitric oxide synthase inhibitor
974,TP53RK,trt_sh,0.996,0.536,0.996,13,9,4,37,
975,VAT1,trt_sh,0.996,0.686,0.996,14,10,4,42,
976,oxiconazole,trt_cp,0.995,-0.719,0.995,21,12,9,57,Bacterial cell wall synthesis inhibitor
977,AG-592,trt_cp,0.995,-0.95,0.995,10,5,5,19,Tyrosine kinase inhibitor
978,roxithromycin,trt_cp,0.995,-0.802,0.995,18,11,7,46,Bacterial 50S ribosomal subunit inhibitor
979,bosentan,trt_cp,0.995,-0.699,0.995,25,16,9,57,Endothelin receptor antagonist
980,MBNL1,trt_sh,0.995,-0.883,0.995,17,10,7,38,
981,aurora-a-inhibitor-i,trt_cp,0.995,-0.703,0.995,66,40,26,178,Aurora kinase inhibitor
982,NDUFV2,trt_sh,0.995,-0.635,0.995,11,7,4,27,
983,CCNC,trt_sh,0.995,-0.752,0.995,10,6,4,24,
984,POLR2I,trt_sh,0.994,0.697,0.994,30,22,8,70,
985,SB-242235,trt_cp,0.994,-0.762,0.994,15,9,6,42,p38 MAPK inhibitor
986,UGCG,trt_sh,0.994,0.722,0.994,11,8,3,27,
987,primidone,trt_cp,0.994,-0.912,0.994,36,19,17,80,GABA receptor antagonist
988,doxifluridine,trt_cp,0.994,0.805,0.994,13,11,2,42,thymidylate synthase inhibitor
989,ETV1,trt_sh,0.994,0.829,0.994,15,11,4,41,
990,PRKAR1A,trt_sh,0.994,-0.677,0.994,34,21,13,104,
991,TRAPPC3,trt_sh,0.994,-0.628,0.994,14,7,7,42,
992,cyclopentene,trt_cp,0.994,-0.869,0.994,31,18,13,96,
993,NET1,trt_sh,0.994,0.75,0.994,16,14,2,44,
994,LY-2183240,trt_cp,0.994,0.66,0.994,34,24,10,90,FAAH inhibitor|FAAH reuptake inhibitor
995,SERPINA5,trt_sh,0.994,-0.797,0.994,12,7,5,27,
996,ITGB1BP1,trt_sh,0.994,-0.0,0.994,12,8,4,33,
997,alaproclate,trt_cp,0.993,-0.843,0.993,22,11,11,65,Serotonin receptor antagonist
998,SCF,trt_lig,0.993,-0.751,0.993,26,15,11,88,
999,ARN-509,trt_cp,0.993,-0.776,0.993,18,11,7,42,
1000,THAP11,trt_sh,0.993,0.681,0.993,15,11,4,42,
1001,HFE,trt_sh,0.993,0.705,0.993,11,9,2,42,
1002,levomepromazine,trt_cp,0.993,0.863,0.993,10,8,2,23,Dopamine receptor antagonist
1003,ACAA1,trt_sh,0.993,-0.38,0.993,26,17,9,77,
1004,tretinoin,trt_cp,0.993,-0.675,0.993,74,46,28,236,Retinoid receptor agonist|Retinoid receptor ligand
1005,GRK5,trt_sh,0.993,-0.69,0.993,11,6,5,29,
1006,cytosporone-b,trt_cp,0.993,-0.322,0.993,14,9,5,59,NUR77 receptor agonist
1007,GPR119,trt_sh,0.993,0.769,0.993,13,9,4,27,
1008,GSDMB,trt_sh,0.993,0.763,0.993,12,10,2,33,
1009,CDO1,trt_sh,0.993,-0.717,0.993,10,6,4,27,
1010,AXIN2,trt_sh,0.993,0.83,0.993,13,11,2,35,
1011,cycloheximide,trt_cp,0.993,-0.653,0.993,40,26,14,93,Protein synthesis inhibitor
1012,refametinib,trt_cp,0.992,-0.901,0.992,10,5,5,42,MEK inhibitor
1013,XRCC6,trt_sh,0.992,-0.385,0.992,14,9,5,56,
1014,MORF4L1,trt_sh,0.992,-0.699,0.992,16,9,7,27,
1015,NDUFC1,trt_sh,0.992,0.687,0.992,12,10,2,27,
1016,LIMK2,trt_sh,0.992,0.464,0.992,25,17,8,73,
1017,tacalcitol,trt_cp,0.992,-0.845,0.992,19,9,10,42,vitamin D receptor agonist
1018,phenazopyridine,trt_cp,0.992,0.422,0.992,10,7,3,23,Local anesthetic
1019,PRDX5,trt_sh,0.992,-0.704,0.992,13,8,5,29,
1020,ZNF85,trt_sh,0.992,-0.971,0.992,11,6,5,27,
1021,MW-STK33-1C,trt_cp,0.992,-0.964,0.992,15,7,8,53,
1022,etoposide,trt_cp,0.992,-0.858,0.992,30,16,14,100,Topoisomerase inhibitor
1023,huperzine-a,trt_cp,0.992,-0.837,0.992,14,7,7,43,Acetylcholinesterase inhibitor|Glutamate receptor antagonist
1024,LX-1031,trt_cp,0.992,0.674,0.992,17,13,4,42,
1025,OSMR,trt_sh,0.991,-0.832,0.991,12,7,5,27,
1026,PARP4,trt_sh,0.991,-0.027,0.991,12,8,4,30,
1027,SOX2,trt_sh,0.991,-0.75,0.991,13,8,5,35,
1028,SNX17,trt_sh,0.991,-0.819,0.991,13,8,5,36,
1029,lofexidine,trt_cp,0.991,-0.761,0.991,17,9,8,59,Adrenergic receptor agonist
1030,B4GALNT1,trt_sh,0.991,0.676,0.991,10,8,2,27,
1031,PLA2G2C,trt_sh,0.991,0.813,0.991,11,9,2,27,
1032,diminazene-aceturate,trt_cp,0.99,-0.323,0.99,17,11,6,42,angiotensin converting enzyme activator
1033,RRP8,trt_sh,0.99,-0.343,0.99,14,9,5,39,
1034,ID3,trt_sh,0.99,0.821,0.99,15,11,4,27,
1035,IKBKAP,trt_sh,0.99,-0.803,0.99,25,14,11,75,
1036,PET112,trt_sh,0.99,-0.353,0.99,23,15,8,42,
1037,PURA,trt_sh,0.99,0.591,0.99,13,9,4,33,
1038,carglumic-acid,trt_cp,0.99,0.524,0.99,13,9,4,42,carbamoyl phosphate synthase activator
1039,PRKAR2A,trt_sh,0.99,0.464,0.99,13,9,4,35,
1040,NDUFA7,trt_sh,0.99,-0.618,0.99,10,5,5,27,
1041,caffeine,trt_cp,0.989,-0.899,0.989,25,12,13,75,Adenosine receptor antagonist|Phosphodiesterase inhibitor
1042,H2O,ctl_vehicle,0.989,0.636,0.989,14,10,4,44,
1043,MW-STK33-2B,trt_cp,0.989,-0.885,0.989,11,5,6,45,
1044,imipramine,trt_cp,0.989,0.661,0.989,31,23,8,87,Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor
1045,FZD1,trt_sh,0.988,-0.712,0.988,11,6,5,27,
1046,pasireotide,trt_cp,0.988,-0.793,0.988,18,9,9,42,somatostatin receptor agonist
1047,MAP2K1,trt_sh,0.988,0.579,0.988,25,17,8,72,
1048,epigallocatechin,trt_cp,0.988,-0.871,0.988,18,9,9,59,Nitric oxide synthase inhibitor
1049,methazolamide,trt_cp,0.988,-0.65,0.988,17,10,7,57,Carbonic anhydrase inhibitor
1050,CRK,trt_sh,0.988,0.634,0.988,13,10,3,33,
1051,KIAA0907,trt_sh,0.988,0.527,0.988,16,11,5,38,
1052,GATA1,trt_sh,0.988,-0.843,0.988,20,10,10,60,
1053,TXNRD2,trt_sh,0.988,0.105,0.988,12,8,4,27,
1054,PRKAA1,trt_sh,0.988,0.573,0.988,16,11,5,36,
1055,amperozide,trt_cp,0.987,0.786,0.987,10,8,2,23,Dopamine receptor antagonist
1056,erythromycin,trt_cp,0.987,-0.793,0.987,31,17,14,83,NFkB pathway inhibitor
1057,"9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide",trt_cp,0.987,-0.787,0.987,25,16,9,59,NFkB pathway inhibitor
1058,ZNHIT3,trt_sh,0.987,0.709,0.987,15,11,4,36,
1059,tyrphostin-1,trt_cp,0.987,-0.767,0.987,43,26,17,120,EGFR inhibitor
1060,GLUD2,trt_sh,0.987,-0.678,0.987,10,6,4,24,
1061,S100A4,trt_sh,0.987,0.769,0.987,27,19,8,58,
1062,almitrine,trt_cp,0.987,-0.852,0.987,12,7,5,42,neurotransmitter agonist
1063,pargyline,trt_cp,0.987,-0.563,0.987,11,6,5,22,Monoamine oxidase inhibitor
1064,BTBD3,trt_sh,0.986,-0.667,0.986,12,7,5,33,
1065,apocynin,trt_cp,0.986,-0.811,0.986,20,10,10,42,NADPH oxidase inhibitor
1066,LIPA,trt_sh,0.986,-0.872,0.986,28,12,16,75,
1067,DDB2,trt_sh,0.986,-0.674,0.986,24,15,9,72,
1068,LHPP,trt_sh,0.986,0.603,0.986,32,23,9,75,
1069,BRD-K58698715,trt_cp,0.986,0.689,0.986,12,9,3,32,
1070,SEC24C,trt_sh,0.985,-0.358,0.985,17,11,6,36,
1071,CISH,trt_sh,0.985,0.668,0.985,21,15,6,72,
1072,isoliquiritigenin,trt_cp,0.985,-0.935,0.985,19,10,9,59,Guanylate cyclase activator
1073,iopanoic-acid,trt_cp,0.985,-0.425,0.985,14,9,5,27,Radiopaque medium
1074,BRD-K51320264,trt_cp,0.985,-0.276,0.985,11,7,4,26,
1075,benzbromarone,trt_cp,0.984,0.73,0.984,28,20,8,78,Chloride channel blocker
1076,sulfafurazole,trt_cp,0.984,-0.767,0.984,28,17,11,75,Bacterial antifolate
1077,minoxidil,trt_cp,0.984,0.708,0.984,45,32,13,140,KATP activator|Kir6 channel (KATP) activator|Vasodilator
1078,TLR8,trt_sh,0.984,0.719,0.984,13,10,3,33,
1079,IL1R2,trt_sh,0.984,-0.68,0.984,14,7,7,27,
1080,CREBL2,trt_sh,0.984,0.696,0.984,13,9,4,30,
1081,SN-38,trt_cp,0.984,-0.704,0.984,57,37,20,137,Topoisomerase inhibitor
1082,MTA3,trt_sh,0.983,0.813,0.983,10,8,2,24,
1083,RG-108,trt_cp,0.983,0.562,0.983,56,39,17,173,DNA methyltransferase inhibitor
1084,ANXA1,trt_sh,0.983,-0.628,0.983,14,8,6,33,
1085,NUMB,trt_sh,0.983,0.639,0.983,11,8,3,27,
1086,MLN-8054,trt_cp,0.983,-0.833,0.983,76,40,36,264,Aurora kinase inhibitor|Mitotic inhibitor|Protein kinase inhibitor
1087,clozapine,trt_cp,0.983,0.099,0.983,36,24,12,78,Serotonin receptor antagonist|Dopamine receptor antagonist
1088,pravastatin,trt_cp,0.983,-0.643,0.983,54,35,19,126,HMGCR inhibitor
1089,BRAP,trt_sh,0.983,-0.343,0.983,11,7,4,27,
1090,perphenazine,trt_cp,0.983,-0.929,0.983,11,5,6,37,Dopamine receptor antagonist
1091,bisindolylmaleimide,trt_cp,0.982,-0.645,0.982,54,33,21,137,CDK inhibitor|PKC inhibitor
1092,luteolin,trt_cp,0.982,-0.739,0.982,18,10,8,54,Glucosidase inhibitor
1093,ribavirin,trt_cp,0.982,-0.846,0.982,20,11,9,59,Antiviral
1094,KHDRBS1,trt_sh,0.982,-0.567,0.982,25,15,10,63,
1095,atorvastatin,trt_cp,0.982,-0.013,0.982,60,40,20,134,HMGCR inhibitor
1096,danusertib,trt_cp,0.982,-0.703,0.982,21,12,9,59,Aurora kinase inhibitor|Growth factor receptor inhibitor
1097,tolazamide,trt_cp,0.982,-0.787,0.982,47,28,19,149,ATP channel blocker
1098,wortmannin,trt_cp,0.982,-0.654,0.982,302,196,106,997,PI3K inhibitor
1099,licarbazepine,trt_cp,0.982,-0.77,0.982,19,12,7,42,voltage-gated sodium channel blocker
1100,rociletinib,trt_cp,0.981,-0.911,0.981,15,7,8,42,EGFR inhibitor
1101,cepharanthine,trt_cp,0.981,-0.292,0.981,17,11,6,42,NFkB pathway inhibitor
1102,BI-2536,trt_cp,0.981,0.562,0.981,142,96,46,409,PLK inhibitor
1103,etomidate,trt_cp,0.981,-0.921,0.981,28,15,13,76,GABA receptor modulator
1104,IL1,trt_lig,0.981,-0.29,0.981,23,15,8,88,
1105,BRD-K98645985,trt_cp,0.981,-0.362,0.981,17,11,6,44,
1106,CREG1,trt_sh,0.981,0.461,0.981,17,12,5,42,
1107,A-443654,trt_cp,0.981,-0.585,0.981,32,20,12,132,
1108,taltirelin,trt_cp,0.981,-0.789,0.981,16,10,6,42,thyrotropin releasing hormone receptor agonist
1109,pterostilbene,trt_cp,0.981,0.836,0.981,19,14,5,59,Cyclooxygenase inhibitor|PPAR receptor agonist
1110,SFN,trt_sh,0.981,-0.748,0.981,49,28,21,123,
1111,MB,trt_sh,0.981,-0.793,0.981,15,9,6,33,
1112,omecamtiv-mecarbil,trt_cp,0.981,-0.726,0.981,12,7,5,42,cardiac myosin activator
1113,TRIM13,trt_sh,0.98,-0.927,0.98,14,8,6,39,
1114,lumacaftor,trt_cp,0.98,-0.803,0.98,18,11,7,42,CFTR channel agonist
1115,AT-9283,trt_cp,0.98,-0.895,0.98,34,17,17,90,Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|Mitotic inhibitor|Protein kinase inhibitor
1116,PROX1,trt_sh,0.98,0.789,0.98,10,7,3,24,
1117,PXK,trt_sh,0.98,-0.837,0.98,13,7,6,37,
1118,enoxolone,trt_cp,0.98,-0.823,0.98,21,13,8,42,gap junction modulator
1119,chlorpropamide,trt_cp,0.98,0.826,0.98,12,9,3,42,ATP channel blocker
1120,QL-XII-47,trt_cp,0.979,-0.801,0.979,72,44,28,202,BTK inhibitor|Cytoplasmic tyrosine protein kinase BMX inhibitor
1121,BRD-A24054354,trt_cp,0.979,-0.923,0.979,22,10,12,58,
1122,SPAG4,trt_sh,0.979,-0.82,0.979,15,8,7,39,
